user_id,email,region,created_at,createdAt,updated_at,updatedAt,n_attempts,n_passed,mean_gap_hours,n_question_rows,n_reflections,txt_completion_rate,n_retries_no_pass,pass_rate,recent_7d_attempts,distinct_days_active,longest_activity_streak,avg_points,points_std,total_minutes_spent,wellbeing_mean,avg_reflection_len,retry_rate,avg_attempts_to_pass,n_scenarios_passed,module_complete,cutoff,days_since_last,fall_behind
008edba3-77e9-4b9b-a047-da5a1b98fd75,redacted@wydaemailexample.com,unknown,2025-04-14 20:57:25+00:00,2025-04-14T20:57:25Z,2025-04-14 20:57:25+00:00,2025-04-14T20:57:25Z,1.0,1.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,160.0,0.0,11.916666666666666,0.0,0.0,0.0,1.0,1.0,0,2024-04-23 08:34:49+00:00,256.0,1
04050ff3-37d3-4f18-abc6-0d7203d0106f,redacted@wydaemailexample.com,unknown,2025-04-14 20:02:47+00:00,2025-04-14T20:02:47Z,2025-04-14 20:02:47+00:00,2025-04-14T20:02:47Z,40.0,17.0,33.20270655270655,817.0,111.0,0.5855855855855856,0.0,0.425,0.0,10.0,2.0,1762.0588235294117,1821.47733552288,557.8666666666667,0.0,83.41538461538461,0.8235294117647058,1.0,17.0,1,2024-10-22 16:08:39+00:00,73.0,0
095af668-642a-40d2-abed-6fe199220ce0,redacted@wydaemailexample.com,unknown,2025-04-14 20:04:15+00:00,2025-04-14T20:04:15Z,2025-04-14 20:04:15+00:00,2025-04-14T20:04:15Z,28.0,12.0,39.509917695473256,557.0,84.0,0.5952380952380952,0.0,0.42857142857142855,0.0,9.0,2.0,679.1666666666666,338.6139752615421,441.1333333333333,0.0,109.42,0.9166666666666666,1.0,12.0,0,2024-10-09 00:41:30+00:00,87.0,1
0c78fdf3-85c4-4afe-85b2-851fe32a2a54,redacted@wydaemailexample.com,unknown,2025-04-14 20:04:48+00:00,2025-04-14T20:04:48Z,2025-04-14 20:04:48+00:00,2025-04-14T20:04:48Z,41.0,17.0,34.0104375,757.0,119.0,0.5882352941176471,0.0,0.4146341463414634,0.0,9.0,2.0,1662.6470588235295,1699.2146693832003,2402.116666666667,0.0,44.885714285714286,0.8823529411764706,1.0,17.0,1,2024-10-21 11:54:31+00:00,75.0,0
0feb4760-6f29-4532-ab2d-ca114fd4f0c7,redacted@wydaemailexample.com,unknown,2025-04-14 20:17:56+00:00,2025-04-14T20:17:56Z,2025-04-14 20:17:56+00:00,2025-04-14T20:17:56Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,inf,1
1c6f6075-03db-4876-bf5c-7c4dddfef825,redacted@wydaemailexample.com,unknown,2025-04-14 20:03:52+00:00,2025-04-14T20:03:52Z,2025-04-14 20:03:52+00:00,2025-04-14T20:03:52Z,16.0,8.0,54.66568518518519,344.0,47.0,0.5531914893617021,0.0,0.5,0.0,6.0,3.0,383.75,174.04002002823538,264.3,0.0,63.07692307692308,0.75,1.0,8.0,0,2024-09-24 19:09:46+00:00,101.0,1
20b4bf13-1215-415d-bd96-c3003d333910,redacted@wydaemailexample.com,unknown,2025-04-14 19:40:27+00:00,2025-04-14T19:40:27Z,2025-04-14 19:40:27+00:00,2025-04-14T19:40:27Z,42.0,17.0,28.666233062330623,829.0,118.0,0.5932203389830508,0.0,0.40476190476190477,0.0,6.0,4.0,768.9444444444445,877.5263007435914,503.9,0.0,119.67142857142858,0.8823529411764706,1.0588235294117647,17.0,1,2024-05-19 16:43:40+00:00,229.0,0
25c9cce9-95be-403e-8a8c-f57aee8e69d6,redacted@wydaemailexample.com,unknown,2025-04-14 20:17:55+00:00,2025-04-14T20:17:55Z,2025-04-14 20:17:55+00:00,2025-04-14T20:17:55Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,inf,1
2d907474-428f-4dfd-aaab-dd3c0aaa6673,redacted@wydaemailexample.com,unknown,2025-04-14 20:05:43+00:00,2025-04-14T20:05:43Z,2025-04-14 20:05:43+00:00,2025-04-14T20:05:43Z,41.0,17.0,24.595388888888888,823.0,109.0,0.5963302752293578,0.0,0.4146341463414634,0.0,9.0,3.0,1603.888888888889,1599.6725727064527,577.2833333333333,0.0,54.16923076923077,0.7647058823529411,1.0588235294117647,17.0,1,2024-10-13 15:12:06+00:00,83.0,0
3011515a-461b-4fbe-9aa9-390a874a4aae,redacted@wydaemailexample.com,unknown,2025-04-14 19:41:04+00:00,2025-04-14T19:41:04Z,2025-04-14 19:41:04+00:00,2025-04-14T19:41:04Z,2.0,2.0,0.7683333333333333,41.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,267.5,10.606601717798213,59.55,0.0,0.0,0.0,1.0,2.0,0,2024-05-20 12:04:29+00:00,229.0,1
